label,message,length,has_url,has_number,exclamation_count,caps_ratio
0,"['ok', 'im', 'sure', 'time', 'finish', 'tomorrow', 'wan', 'na', 'spend', 'evening', 'co', 'would', 'vewy', 'vewy', 'lubly', '!', 'love', 'xxx']",18,False,False,1,0.015625
0,"['hey', 'sathya', 'till', 'dint', 'meet', 'even', 'single', 'time', 'saw', 'situation', 'sathya', '.']",12,False,False,0,0.010416666666666666
1,"['get', 'ur', '1st', 'ringtone', 'free', 'now', '!', 'reply', 'msg', 'tone', '.', 'gr8', 'top', '20', 'tone', 'phone', 'every', 'week', '£1.50', 'per', 'wk', '2', 'opt', 'send', 'stop', '08452810071', '16']",27,False,True,1,0.1895424836601307
0,"['not', 'yet', 'chikku', '..', 'wat', 'abt', 'u', '?']",8,False,False,0,0.038461538461538464
0,"['yeah', ',', 'probably', 'swing', 'roommate', 'finish', 'girl']",7,False,False,0,0.0136986301369863
0,"['and', 'i', ""n't"", 'plan', 'staying', 'night', 'i', 'prolly', 'wo', ""n't"", 'back', 'til', 'late']",13,False,False,0,0.0410958904109589
0,"['whenevr', 'ur', 'sad', ',', 'whenevr', 'ur', 'gray', ',', 'remembr', 'im', '2', 'listn', '2', 'watevr', 'u', 'wan', 'na', 'say', ',', 'jus', 'walk', 'wid', 'little', ',', '&', 'amp', ';', 'i', 'promise', 'i', ""'ll"", 'bring', 'back', 'ur', 'smile', '.', ':', '-', ')']",39,False,True,0,0.03896103896103896
0,"['fine', 'miss', 'much', '.']",4,False,False,0,0.038461538461538464
0,"['me', 'fine', '..', 'absolutly', 'fine']",5,False,False,0,0.043478260869565216
0,"['go', 'n', 'buy', '?', 'juz', 'buy', 'get', 'lar', '.']",9,False,False,0,0.043478260869565216
0,"['this', 'weekend', 'fine', '(', 'excuse', 'much', 'decorating', ')']",8,False,False,0,0.016129032258064516
0,"['somewhere', 'beneath', 'pale', 'moon', 'light', 'someone', 'think', 'u', 'dream', 'come', 'true', '...', 'goodnite', '&', 'amp', ';', 'sweet', 'dream']",18,False,False,0,0.0
1,"['update_now', '-', '12mths', 'half', 'price', 'orange', 'line', 'rental', ':', '400mins', '...', 'call', 'mobileupd8', '08000839402', 'call2optout=j5q']",15,False,True,0,0.1
0,"['how', 'long', 'since', 'screamed', ',', 'princess', '?']",7,False,False,0,0.02
0,"['you', 'said', 'went', 'back', 'bed', 'ca', ""n't"", 'sleep', 'anything', '.']",10,False,False,0,0.013333333333333334
0,"['no', 'i', ""n't"", 'cancer', '.', 'moms', 'making', 'big', 'deal', 'regular', 'checkup', 'aka', 'pap', 'smear']",14,False,False,0,0.03529411764705882
0,"['ok', '...']",2,False,False,0,0.2
1,"['no', '1', 'polyphonic', 'tone', '4', 'ur', 'mob', 'every', 'week', '!', 'just', 'txt', 'pt2', '87575', '.', '1st', 'tone', 'free', '!', 'get', 'txtin', 'tell', 'ur', 'friend', '.', '150p/tone', '.', '16', 'reply', 'hl', '4info']",31,False,True,2,0.14285714285714285
0,"['what', 'happen', 'dear', 'tell']",4,False,False,0,0.041666666666666664
0,"['its', 'great', 'day', '.', 'do', 'beautiful', 'one', '.']",8,False,False,0,0.04
0,"['you', 'great', 'role', 'model', '.', 'you', 'giving', 'much', 'really', 'wish', 'day', 'miracle', 'god', 'reason', 'everything', 'must', 'say', 'wish', 'knew', 'dont', '.', 'i', ""'ve"", 'looked', 'since', 'young', 'still', '.', 'have', 'great', 'day', '.']",32,False,False,0,0.02040816326530612
0,"['i', 'anything', 'lor', '.']",4,False,False,0,0.06666666666666667
0,"['you', 'get', 'chicken', 'broth', 'want', 'ramen', 'unless', ""'s"", 'i', ""n't"", 'know']",11,False,False,0,0.022222222222222223
0,"['well', 'like', 'actually', 'called', 'someone', 'punto', '.', 'that', 'woulda', 'worse', '.']",11,False,False,0,0.02564102564102564
0,"['i', ""'m"", 'office', '.', 'i', 'call', '&', 'lt', ';', '#', '&', 'gt', ';', 'min', ':', ')']",16,False,False,0,0.03773584905660377
0,"['still', 'work', 'going', ':', ')', 'small', 'house', '.']",8,False,False,0,0.022727272727272728
0,"['ok', 'come', 'ur', 'home', 'half', 'hour']",6,False,False,0,0.02040816326530612
0,"['i', 'sure', 'night', 'menu', '.', '.', '.', 'i', 'know', 'noon', 'menu']",11,False,False,0,0.031746031746031744
0,"['there', ""'ll"", 'minor', 'shindig', 'place', 'later', 'tonight', ',', 'interested', '?']",10,False,False,0,0.014285714285714285
0,"['i', 'miss', 'much', 'i', ""'m"", 'desparate', 'i', 'recorded', 'message', 'left', 'day', 'listen', 'hear', 'sound', 'voice', '.', 'i', 'love']",18,False,False,0,0.025157232704402517
0,"['and', '!', 'will', 'expect', 'whenever', 'text', '!', 'hope', 'go', 'well', 'tomo']",11,False,False,2,0.04411764705882353
0,"['you', 'still', 'grand', 'prix', '?']",5,False,False,0,0.041666666666666664
0,"['japanese', 'proverb', ':', 'if', 'one', 'can', ',', 'u', 'can', ',', 'if', 'none', 'can', ',', 'u', 'must', 'indian', 'version', ':', 'if', 'one', 'can', ',', 'let', 'him', 'do', '..', 'if', 'none', 'can', ',', 'leave', '!', '!', 'and', 'finally', 'kerala', 'version', ':', 'if', 'one', ',', 'stop', '..', 'if', 'none', ',', 'make', 'strike', '...']",50,False,False,2,0.11956521739130435
0,"['no', 'need', 'buy', 'lunch', '..', 'i', 'eat', 'maggi', 'mee', '..']",10,False,False,0,0.0425531914893617
1,"['sms', 'services', '.', 'inclusive', 'text', 'credit', ',', 'pls', 'goto', 'www.comuk.net', 'login=', '*', '*', '*', '*', '*', 'unsubscribe', 'stop', '.', 'extra', 'charge', '.', 'help:08700469649', '.', 'po', 'box420', '.', 'ip4', '5we']",29,False,True,0,0.1509433962264151
1,"['free', 'message', 'activate', '500', 'free', 'text', 'messages', 'replying', 'message', 'word', 'free', 'for', 'term', '&', 'condition', ',', 'visit', 'www.07781482378.com']",18,False,True,0,0.15753424657534246
0,"['dunno', 'da', 'next', 'show', 'aft', '6', '850', '.', 'toa', 'payoh', 'got', '650', '.']",13,False,True,0,0.0392156862745098
0,"['serious', '?', 'what', 'like', 'proper', 'tongued']",6,False,False,0,0.05405405405405406
0,"['good', '.', 'think', 'could', 'send', 'pix', '?', 'i', 'would', 'love', 'see', 'top', 'bottom', '...']",14,False,False,0,0.02247191011235955
0,"['i', ""'m"", 'smoking', 'people', 'use', '``', 'wylie', 'smoke', 'much', ""''"", 'justify', 'ruining', 'shit']",13,False,False,0,0.012048192771084338
0,"['reason', 'team', 'budget', 'available', 'last', 'buy', 'unsold', 'player', 'base', 'rate', '..']",11,False,False,0,0.010416666666666666
0,"['k.k', '..', 'sister', 'kid', '?']",5,False,False,0,0.034482758620689655
0,"['plz', 'note', ':', 'anyone', 'calling', 'mobile', 'co.', '&', 'amp', ';', 'asks', 'u', 'type', '#', '&', 'lt', ';', '#', '&', 'gt', ';', '#', '&', 'lt', ';', '#', '&', 'gt', ';', '.', 'do', '.', 'disconnect', 'call', ',', 'coz', 'iz', 'attempt', ""'terrorist"", ""'"", 'make', 'use', 'sim', 'card', '.', 'itz', 'confirmd', 'nokia', 'n', 'motorola', 'n', 'verified', 'cnn', 'ibn', '.']",55,False,False,0,0.04182509505703422
0,"['you', 'know', 'old', 'dom', 'i', 'told', 'yesterday', '?', 'his', 'name', 'roger', '?', 'he', 'got', 'touch', 'last', 'night', 'want', 'meet', 'today', '2', 'pm']",22,False,True,0,0.0425531914893617
0,"['oh', ':', '-', ')', '4', 'outside', 'player', 'allowed', 'play', 'know']",10,False,True,0,0.02040816326530612
0,"['boooo', 'always', 'work', '.', 'just', 'quit', '.']",7,False,False,0,0.06060606060606061
0,"['pls', 'speak', 'customer', 'machan', '.']",5,False,False,0,0.029411764705882353
